,comment
0,我的头像。。。
1,这是近期看的几个元宇宙视频讲的最好的一个
2,苹果一个vr做了快十年了
3,无处可逃
4,比特宇宙？
5,线上空间，接入游戏。？！
6,元宇宙：一家公司垄断整个世界。
7,宝藏博主
8,Decentraland可以买土地
9,邮箱工具是Spark
10,eth
11,归根到底还是进化版的网游
12,那是另外的价格
13,备课用心了
14,就是吞噬星空里的战神宫
15,区块链
16,现实世界和虚拟世界
17,有意思
18,互联网不就是元宇宙
19,是谁抛下了谁
20,黑客帝国
21,元宇宙不仅仅是一个游戏啊，是工作生活娱乐的世界
22,无敌破坏王是不是迪士尼元宇宙
23,我们的世界要提升纬度了
24,这衣服就很元宇宙
25,国内现在是“吹宇宙”
26,中国简直就是魔幻了
27,不愧是新传
28,可以把货币带来的同质化消除
29,好文案
30,不要太多，几亿人在一起就很可观了
31,赞，启蒙了，加油元宇宙，我的梦想。
32,我觉得现在不叫元宇宙
33,战锤30k为您点赞
34,sandbox
35,maga??!
36,和我的世界有啥区别？
37,对，像我就基本上不玩游戏，偶尔下下棋。
38,然后现在只是炒作
39,按这个说法，合着中国就与元宇宙无缘了呗
40,看到这个就知道不靠谱了
41,ohh
42,这不就是崽崽的那种交互么
43,像刀剑神域那样呗
44,区块链来了
45,腾讯
46,腾讯
47,赛博朋克！
48,走向骇客帝国
49,极致的去实向虚
50,Quest2玩起来还是太晕了，而且太重
51,那麼，代價是什麼呢
52,十年
53,然而根本沒有實現的東西
54,藍圖
55,每天都在干什么呢
56,《头号玩家》
57,优秀
58,腾讯：黎明计划启动
59,例如比特币
60,刀剑神域不远了
61,还有地虎侠
62,快个Der喔显卡都没有，还元宇宙
63,这不就是乐高世界吗
64,quest1用户哇的一下哭出声
65,简单概括：元宇宙就是”刀剑神域”
66,简单概括：元宇宙就是”刀剑神域”
67,不是5g换个壳子嘛？
68,好美啊
69,地球OL
70,地球online
71,美股空心化的产物
72,技术与想象
73,电力有限
74,姐姐好好看
75,鹅宇宙
76,求同款眼镜
77,A刀剑神域
78,升华了
79,Avatar
80,鸿蒙糸统加油呀！
81,哈哈哈哈
82,ue5
83,美的很
84,《黑客帝国》
85,谢谢小宁老师～
86,求同款眼镜
87,..0
88,哈哈哈哈哈
89,哈哈哈哈哈哈哈
90,赛博朋克
91,快了
92,爷青回
93,好好看啊
94,(⊙o⊙)哇好美
95,严谨！
96,哈哈
97,是
98,有理有据
99,真绷不住了！！
100,眼镜也好看
101,眼睛好看
102,阿尔罕布拉宫的回忆
103,元宇宙=融入UGC交易的开放世界游戏，就是互联网
104,元宇宙纪元
105,众生之门
106,11月ba14号，已经600亿美元了
107,好家伙300eth
108,三连啦
109,曙光计划，蚌埠住了
110,是
111,不错
112,随时准备着翻译：新建文件夹
113,信用
114,中青宝：直接报我代码得了
115,哈哈哈哈
116,失踪人口回归
117,dota2蚌埠住了
118,666
119,热乎
120,战术抬镜
121,格局
122,不错的总结
123,眼镜好看！
124,哇 戴眼镜好漂亮
125,这很元宇宙
126,哈哈哈哈
127,小札可还行
128,哈哈哈哈哈哈哈
129,燃燒小宇宙
130,真正网上约架，直接能打起来（doge）
131,企鹅：正在致力于收割创作用户
132,元宇宙+元币+元人
133,第一次听懂元宇宙
134,哈哈哈哈哈好贴切
135,metaverse
136,woo！
137,这一期好有深度啊
138,还有十年
139,第三种是以太坊
140,戴眼镜御姐范
141,优秀
142,格局
143,dota2
144,以后双十一就是带上VR眼镜逛虚拟街道和商场超市
145,曲率驱动
146,多乐普斯！
147,哈哈哈哈哈哈哈哈
148,格局
149,哈哈哈
150,新概念=新坑
151,赞同
152,元宇宙.bate
153,好看！！！！！
154,终于更新了
155,终于更新啦！
156,升华了
157,维纪元
158,超元域
159,三连了
160,格局
161,升华了
162,好家伙，房产都开发到数字世界里了
163,小宁子太好看啦
164,赛博空间
165,今天的小宁子也很好看
166,赞同
167,哈哈哈哈
168,完了
169,好美
170,《格局》
171,意识上传
172,！！！
173,好可爱的名字
174,哇！惊艳了！
175,k
176,可可爱爱
177,小宁子太好看了！
178,过于真实
179,我来啦
180,区块链区块链
181,头号玩家
182,就是虚拟世界
183,血崩
184,鸿蒙糸统最终版
185,我的世界vr版本
186,雪崩能天使
187,小扎哈哈哈哈哈哈
188,3D摩尔庄园？
189,头号玩家？
190,刀剑神域
191,確實
192,没有法律
193,没意思，再过40年吧
194,哈哈哈哈哈哈哈梭哈
195,快了
196,好开
197,姐姐好好看
198,好漂亮
199,期待
200,66
201,好美啊
202,哈哈
203,元宇宙
204,味对了
205,造型好评
206,热乎
207,小寧子好美
208,深度赞同
209,哈哈哈哈
210,up好好看
211,赞同
212,+
213,哈哈哈
214,雪崩yyds
215,这太好看了
216,元宇宙
217,多元宇宙！
218,牛啊牛啊
219,美美美
220,眼镜好看
221,哈哈哈哈
222,十九分钟
223,13分钟
224,十分钟！
225,六分钟！热乎！
226,眼镜真好看
227,区块链
228,真，梭哈
229,腾讯在做什么
230,同款手机
231,好美好美
232,666
233,先讲讲啥是宇宙
234,哈哈哈哈哈哈
235,2077
236,66666
237,Meta
238,环界
239,42
240,超元域！
241,太美了
242,好美
243,好家伙
244,好漂亮
245,好看啊
246,哦吼
247,20分钟
248,10分钟！
249,66
250,未来不好说就现在而言只是一个新的标的物被资本炒作了
251,好漂亮
252,梭哈
253,期待
254,好耶
255,1小时
256,哇咔咔
257,18分钟
258,现实世界都卷不过来了还要再去虚拟世界继续卷？
259,就是造了一个虚拟世界呗
260,人家讨论的是理论问题，一堆人就硬扯政治和法律问题
261,脑机
262,简单来说就是你可以在家去阿尔卑斯山滑雪并将你购买的棒棒糖带回来
263,行业冥灯
264,好小
265,姐姐 你也太好看了吧
266,现在也快了
267,什么时候摘的眼睛？？？
268,科普 ? @波士顿圆脸 有活了
269,美女
270,原来小扎在第十层
271,买比特币吧
272,我和宁子一个思路，
273,那vrchat不是一样吗
274,nft
275,机器人
276,保护好自己的命 未来多看一眼是一眼眼
277,世界不管如何改变 我们一直向西走
278,------全真七子在上网 太极三丰打键盘------
279,好像最初没有货币时候的，商品交换，但这是有特定代币的，物质交换
280,骗人的理念 卵用都没有
281,好拉
282,优质视频……识别……投币
283,行业冥灯
284,仿生人
285,都戴VR就不沙雕了
286,失控玩家是个什么东西
287,完蛋了
288,是因为Facebook的名声太臭了才改的名字
289,贝克街的亡灵
290,奇异点
291,小宁子越来越有味道了
292,不行这女人想哄她高兴太难了，降不了
293,失控玩家
294,额
295,进入元宇宙去小宁子的卧室玩玩游戏机
296,不戴眼镜好看
297,国内永远那么能吹……
298,罗永浩还是高啊 虽然晦涩 但是是真谛
299,你是gg还是mm
300,你也来网上冲浪啊
301,不戴眼镜的老婆还是辣么好看
302,比特币呗
303,元宇宙里能赚取货币，以比特币结算，必成功
304,漂亮版mc？
305,就是看了你的VR视频
306,战锤。。。
307,我觉得现在元宇宙还是吹逼
308,蜥蜴人，呕
309,x
310,NFT
311,…停止把“能当老婆”当作对up的夸奖好吗
312,元宇宙就是扯淡
313,你说得对
314,这个交易完全就是NFT的作秀
315,老婆好
316,扰乱个码的健康发展，游戏不是用来娱乐给你当韭菜是吧
317,有点老了
318,这眼镜片是不是3980元的新乐学
319,中国的部分家长就不会同意，太血腥了……太暴力了……唉呀妈呀
320,偷换概念？？这不就是重度网瘾患者吗？？
321,暴力
322,一切华丽的词藻都是他骗钱的工具
323,不会装就别硬装了。
324,TX直接ban了吧
325,很多国家的人都还吃不饱，元宇宙=瞎扯蛋！
326,旁氏骗局！
327,眼镜呢，
328,vr配云电脑还用搞自身算力吗？
329,说废话
330,the seed？
331,真的好可爱啊
332,脑后插管
333,不用吃饭了？
334,二三十年吧至少
335,哇完全是虛擬價值
336,。
337,mc啊
338,看了这么多元宇宙的视频 还是小宁子观察入细
339,赛博朋克
340,元宇宙就是资本家的反屠龙术
341,天天都在干什么呢
342,不感兴趣
343,罗老师看过的基本都凉了
344,我怀疑他们国产小说看多了
345,我只想说3d眩晕症玩家光在屏幕前晚一些游戏就很难受了，之前体验了几次VR游戏差点没晕过去
346,来玩玩eve国际服试试什么叫元宇宙本宙
347,这货在美国过会听证会上攻击中国公司剽窃美国技术
348,这不腾讯吗 哈哈哈
349,SAO
350,以后就会变成一具肉体了 像阿凡达和刺客信条控制脑神经来进行一切活动 好可怕
351,对啊，以后有钱人去真宇宙，穷人元宇宙
352,讲的相当好
353,南极贱畜：满满的恶意啊
354,什么元批
355,不会真有人觉得麻花腾整天去做营销吧？
356,媒介是人的延伸
357,中青宝；0.
358,机器人本体
359,你他喵的还扣0
360,在的扣一现在有30多人还是20多人
361,扎克伯格一脸反派相，越看越奸诈
362,数字生活超过实体生活
363,q币
364,网络实名化，实人形象化，就是个元宇宙了，不必要专门造个虚拟世界当元宇宙
365,吐啦
366,反链接
367,技术双刃剑
368,元宇宙可以买到中杯星巴克吗
369,"Ohhhh,对味了"
370,热烈庆祝弹幕百亿
371,弹幕咋了
372,握
373,货币要流通啊
374,这少不了腾讯
375,NFT可以
376,字节跳动感觉靠谱一点
377,看了你的评测才入手了quest2
378,笔记本算力都不够呀
379,算力有限
380,这就是问题所在了，摩尔定律到头了，算力终究是有限的
381,可乐吧？
382,AR只是VR功能的一丢丢
383,VR就是AR，也是MR，最后这些都会归一，构成元宇宙
384,又漂亮了
385,万物皆可元宇宙
386,桐人
387,腾讯会牛逼
388,搞发展不如炒概念
389,星际公民了是吧
390,眼镜是什么时候消失的
391,这个up好可爱啊
392,变成淘宝模式
393,黑客帝国
394,中国有腾讯！腾讯yyds
395,换键盘了~
396,xia ri da zuo z
397,格局打开了
398,工作
399,我儿子就是放着Xsx天天玩roblox
400,阿里云。。
401,和赛博朋克差不多，人们幻想出来的宇宙
402,pokemonhome？
403,其它文章越写越看不懂 还是小宁子说得深入浅出通俗易懂 
404,漂亮国可能是
405,显卡只贵
406,格局打开了
407,这么看腾讯的登入方式更元宇宙，不敢相信以后生活完全被腾讯垄断。。
408,不过是换一种形式社交罢了，人还是那些人，现实还是那个现实
409,但关键还在于硬件交互呀
410,真就加速世界呗
411,the seed???
412,机器人
413,黄~志
414,区块链？
415,比特币是吧
416,说的不错
417,就是，凭什么啊
418,必须三连，这期质量太高了！！
419,·
420,零元购
421,期待？把生活搭进去？
422,什么赛博朋克，那是头号玩家和失控玩家那种样子的
423,说了半天还是概念骗局而已
424,比特币
425,属于是小宁子专业对口了
426,老婆
427,这个长焦近景好看
428,我9岁的儿子玩这个沉迷了
429,？？？？？
430,那么复杂，感觉不靠谱
431,老婆
432,好美啊
433,好美啊！
434,，你们魔怔了是吧
435,问题是咱们连facebook都上不去，跟谁元呢
436,@Stephen Curry
437,脑机接口才是终极答案
438,还不够研发两个奇骏的三缸机
439,扎男
440,三体呀
441,没用过眼镜
442,什么赛博朋克，别知道个名词就往里套
443,gtav
444,不感兴趣
445,米哈游2030年打造虚拟世界
446,高度啊
447,那人类将无处可躲
448,lowb
449,蜥蜴人
450,就是说不要虚拟现实 要增强现实
451,最终幻想7
452,没有需求我就给你们创造需求   钱拿来吧你
453,UP 的逻辑能力很强， 而且很有主观，这女子真是老婆的最佳选择
454,也就是知识产权，
455,噢噢，
456,就是要炒
457,每个国家派一个团队来， 共同定义？
458,问题来了， 谁来定义， 统一这些价值物品？
459,不是墙吗
460,首先先搞5g
461,那还不是一个假概念……
462,不就是么
463,元宇宙难道不是数字货币的衍生么
464,valorant，No cap
465,给岁月以文明，而不是给文明以岁月。
466,有意义啊，概念股让无处安放的货币有了去处，就是赌未来，这个过程会产生很多高科技附加品
467,加速了
468,这个可以，互联网升级版。
469,这不就是刀剑神域？
470,充满人文关怀的总结
471,其实快了 状态已经对了
472,啊这。。。。
473,哈哈哈哈哈哈哈，全真互联网
474,想变成小宁子臂弯上的狗
475,人类文明止步于此了
476,充钱
477,老婆
478,什么都是时间
479,所有产生的数据归腾讯所有
480,这不就是qq秀吗
481,哎呦我去
482,账号只有使用权没有所有权
483,头顶一个两斤重的电池吗
484,没实体经济支持 这些都是假的
485,不能是自己人买的？
486,但是还是一个骗局
487,分布式系统也能出一份力
488,左手上趴了只熊，重不重呀
489,腾讯：我不是 我没有
490,简单问一句，元宇宙里面吃碗饭能管我饱吗？【狗头】
491,《真。顺着网线去打你》
492,你好适合浅色头发！
493,宁子太漂亮了，内容说的啥我已经听不进去了。。
494,小札哈哈哈哈哈哈哈哈哈
495,机器人厉害了之后说不定能成
496,ai做一个ai
497,茅场晶彦的《种子》
498,为啥要虚拟的元宇宙，显示的真宇宙不好吗
499,元宇宙为虚拟化货币背书
500,arwave了解一下
501,ar代币火了！
502,区块链
503,骗钱新词
504,来自日本的观点
505,蜥蜴人
506,我并不喜欢游戏设备什么的，我只是来看看老婆
507,就简称互cao吧
508,拔高
509,行业冥灯都出手了
510,这不就是万物互联的意思吗
511,腾讯：我躺着就行
512,真就有生之年呗
513,腾讯：这少的了我？ 冲鸭
514,每个十来二十年出不来
515,首先要先考虑怎么做到分辨率达到16k
516,它确实是炒出来的，就是类似于头号玩家那种
517,说实话，我挺失望的，我开始还以为元宇宙是数字化模拟现实运转
518,确实
519,好！！！
520,可是VR真的好晕
521,听着挺好，最后他们都只是想当寡头
522,别tm刀剑神域了 那就是一个高级点的VR 前面都说了元宇宙不能只是游戏好么
523,《强行》
524,十年说少了！
525,10年能有个基础的样子就很不错了
526,一个VR都整了多少年了，还元宇宙，又在这炒概念股呢
527,我最早有过设想就是淘宝京东可以开设虚拟商场，人可以进到他们的虚拟世界里逛商场
528,刀剑！！！！！
529,元宇宙就是黑客帝国里的matrix
530,游戏里还要打工，真是够了
531,我就喜欢单机
532,又要开始标准之争了？
533,区块链？
534,绿洲
535,黑客帝国
536,来我这，我们可以聊聊人生
537,你还知道回来？！
538,我们还在墙里
539,不我们在搭建自己的
540,金运激光算元宇宙公司吗
541,金运激光算元宇宙公司吗
542,国内单独的局域网 独立于地球
543,焯
544,更新补丁了，会眨眼了
545,越来越越接近《数码宝贝》世界了
546,确实
547,全程在看宁子，都忘了讲啥⊙∀⊙？
548,好漂亮的女人
549,前面的，元宇宙是去中心化的
550,虚拟国家？
551,我眼睛感觉不够用了
552,臭打游戏的就是第一批元宇宙韭菜
553,腾讯好像有epic 49% 的股票
554,马德，心动的感觉
555,左手挂着的娃娃是干什么用的
556,我们巨头正着力造车
557,和游戏无关然后又谈到游戏？
558,头号玩家是吧？
559,好像没啥毛病
560,matrix
561,蜥蜴哥还活着呢？
562,这个扎克挺像真人的
563,仔细想一下，也买不到适宜的显卡（笑）
564,未来晕3d的我将成为元宇宙文盲的一员
565,这不是和VR概念风行的那几年一样吗，画饼
566,韩国已经是了
567,这样的元宇宙会很有可能是个坑
568,那问题来了，元宇宙的载体是啥
569,给的太多了
570,动森就是逃离主义很好的诠释
571,看游戏区up讲课
572,胖了 宁姐
573,懒鬼v社
574,完了完了，罗老师出来，元宇宙没了
575,除客刀，
576,宝可梦go
577,疫情之下  元宇宙里上班玩耍？
578,因为并不只是游戏
579,有人说快了整笑了
580,元宇宙概念一定要凉，不然等着被资本无线的支配吧
581,还是需要轻量化便携化的VR后续产品，好重
582,超元宇宙需要统一业界的各个元宇宙
583,严格来说只是被某些人归类到元宇宙的非元宇宙游戏
584,现在很泡沫，未来很美好
585,未来元宇宙会更像刀剑神域那种生物神经元对接虚拟世界吧
586,你眼镜呢？
587,还需要解决我的3d眩晕症233333
588,gmod
589,那游戏世界就会是另外一个社会，然后被人厌恶
590,区块链？
591,4399
592,老婆真可爱
593,差不多十年吧现在只是还是概念
594,沉静式社交游戏
595,老婆又来
596,比特币
597,全体意识上传信息态进化
598,人类这个是准备往虚拟世界科技树上歪吗？
599,叛逆是吧
600,点进来没想到这个视频这么硬核
601,但这似乎是默认了笔记本电脑不会进步？
602,好好的活着不好吗
603,刚把我拒了这公司hh
604,这不是一个协议的事？
605,键盘不错
606,link start
607,阿里呢？
608,我们是内网
609,最后来个最终解释权归公司所有。用户只有使用权就搞笑
610,这里的这部纪录片强烈安利：《监视资本主义：智能陷阱》
611,我觉得 没有50年或者100年是够呛
612,乐观还是好的
613,老婆
614,我知道了！元宇宙是三个汉字
615,电池技术都没更新，便携设备怎么根本突破？
616,是的，像我这种不爱玩游戏的人也是真实存在的
617,蜥蜴人
618,genshin impact （狗头）
619,到时国内是要单独隔开吗，如果跟外面连在一起，那岂不是...
620,奴隶
621,元宇宙会是社会的拓展
622,不推动股价就跌了
623,我们会在元宇宙永葆青春
624,棒棒棒
625,感觉这个说法比较靠谱
626,中国不用想了 锁服
627,刀剑里的服务器共联doge
628,5g普及是前提
629,腾讯：我推出了黎明计划、
630,老婆
631,去玩赛博朋克啥都懂了
632,罗永浩：语言的艺术
633,马化腾：你们努力开发，我负责收购
634,逃无可逃
635,三体游戏
636,会不会被墙。。
637,4399
638,说快了的还远着呢
639,link start？
640,imvu了解一下
641,行 业 冥 灯
642,三战到来之前一切都是浮云
643,都是扯淡，什么时候steam任天堂和微软互通了再跟我谈元宇宙
644,小宁子简直就是理工男的完美型
645,哈
646,王者荣耀
647,社会的目光
648,手游国服太拉了
649,阿里也在搞
650,电脑都费劲更何况眼镜
651,袁语繇
652,头号玩家！
653,有打脸罗老师了
654,牙齿太美了
655,吹泡泡的高手
656,老婆好
657,小宁子这期讲的好，先三为敬
658,总结的很全面了
659,骗人的成本变低了
660,起码比中国要早，毕竟中国都是先有现象，才再出规定的
661,越来越觉得他是外星人
662,行业冥灯
663,老婆
664,tinder!!!
665,你玩什么我就玩什么
666,中国禁止虚拟货币
667,在中国不允许
668,马化腾打包，就是收购改名
669,懂了。就是我在塞尔达里面的武器能拿到守望先锋里面砍人。
670,我们总是会过度乐观
671,深度套娃
672,decentralisation
673,Mii？
674,就差不多你真成为我老婆那么远（狗头保命）
675,虚拟宇宙公司
676,吞噬星空的虚拟宇宙公司才是元宇宙
677,小宁子不简单啊
678,小宁子好聪明
679,这个特无聊
680,太漂亮了，舍不得关视频
681,不搞新概念怎么圈钱
682,怎么都和我们无关   咱有墙
683,机器人扎克伯格
684,为啥小宁子那么好看
685,真美
686,可能，会很可怕吧。
687,那样的社会太黑暗了。
688,地球上线挺好看的
689,元宇宙必须是去中心化的。
690,小宁子越来越棒了
691,也许宏观来看，人类的想象力，和发展轨迹，就是既定的
692,你说的对，丫就是德行
693,那你得先造个芯片
694,tiktok
695,link start
696,老婆
697,人类的技能点总是点不到这种社会形态
698,马化腾不行
699,就是想绿洲
700,哈哈，還要繼續收集販賣隱私給他的組織了嗎？
701,手势是4种
702,以现在的技术来看，确实是换个马甲，不过未来可期
703,山炮
704,不是吗？
705,但它们都是代码，只不过是资本家们赋予价值了而已，本质上还是0101010
706,但是总要有一个总服务器在地球上啊……不然怎么承载啊
707,那么问题来了，是因为反乌托邦的现实导致了原宇宙产生；还是原宇宙导致了反乌托邦的现实产生？
708,连现实中都如此闭塞。怎么可能允许外部势力的元宇宙（经济，文化，政治，教育）进来？
709,漂亮姐姐
710,乐园计划kai s
711,摩尔庄园生不逢时啊
712,芋头出的？
713,我的世界？
714,新建文件夹
715,老高也有说这个话题
716,指鹿为马
717,我又晕了
718,没有绝对的赛博朋克
719,你眼镜呢
720,是黑客帝国
721,没错正是
722,你是宇宙无敌美少女，所以它以为你懂元宇宙
723,有行业冥灯在，不怕了
724,头发长的真快
725,我感觉元宇宙还早的很
726,让人有持续的钱赚就有可能吧。。。
727,全真教主？
728,如果宇宙本就是虚拟的，那源于周不过是在系统中装了个虚拟机。
729,微软的小冰岛
730,罗老师都来了，要结束了
731,小宁子有高度有深度有格局
732,虚拟货币要火了？
733,装机量呢
734,vtube?
735,vtube?
736,完全是颜值让我坚持到现在
737,头号玩家，诚不欺我
738,反正就算做出来国内也玩不了
739,小扎
740,库里
741,行业冥灯，这把稳了
742,什么性？
743,世界的种子
744,他们给的太多了
745,牛蛙
746,Sword Art Online
747,以后网上约架可以随时开打
748,三体
749,这样的世界 不就被称为网络空间？？？
750,哈哈，全真互联网
751,完全脱离现实的游戏宇宙又有什么意义呢，到时候连电费都交不起
752,VR潜水镜我笑了求你买一个 
753,无处可逃
754,你不是，不代表我不是
755,美国现状
756,去互联网里上网
757,不那么不切实际，好词，我怀疑你是AI
758,就是以后的星际公民啊
759,老婆老婆
760,看完这个表述，只想到两个词 p2p 炒币
761,是gmod
762,确实
763,这不是反而脱离货币，回到以物易物的阶段了？
764,数据互通
765,他真的，好像个机器人啊
766,腾讯
767,这就是金融圈炒的热度而已，这个逻辑从人性出发就不可能完成
768,互什么？？
769,腾讯：互通？什么互通？
770,我根本不知道她在说什么，但我就是在看，可能这就是爱吧
771,这个东西就是万物互联基础上加入vr虚拟形象。用更强的交互性的操作来进行万物互联下的生活
772,当时比特币也这么引用过
773,腾讯滚
774,余承东：万物互联
775,懂了，虚拟货币
776,期待oculus quest pro
777,？？、随时准备着？？？啥也没干咯
778,数码宝贝
779,以前有个页游貌似也这样，国内的
780,这期的口红色号我比较喜欢
781,区块链
782,比特币无法作为货币，耗费和速度都不行，但可以作为虚拟世界的黄金。
783,这个文案写的可以啊···
784,秒啊
785,跑吧，行业冥灯都来了
786,qculus quest 2 是facebook的子公司，最近他们又搞出了一个线上VR会议App，感觉就有点逐步往这个方向靠的意思了
787,脸书不行了，小扎要发币…各种概念
788,这不是企鹅吗？还是要搞社交？
789,罗老师都进场了，行业冥灯不开玩笑2333
790,就这货炒作起来的吧，想发自己电子货币
791,罗布乐思，有中国版，但很水
792,哦豁
793,piedpiper
794,对味了
795,小扎
796,总感觉是为了卖货……
797,开始洗脑了
798,卖vr设备啊
799,行业冥灯来啦
800,b战也算是了
801,自认为的要素
802,玩一个小众游戏不也一样
803,多家资本持股吧
804,会更丰富，也会更焦虑，更沉迷
805,乐高？
806,游戏画面粗糙，玩法自定义
807,QQ空间3D版
808,只能是游戏社区了
809,给游戏打工的只有搬砖党，血汗工厂啊
810,现实世界还不至于
811,真实的mmorpg就是地球ol
812,因为游戏啊，还有社区
813,确实
814,我反对
815,服务器数据装不下真实世界
816,对，浮夸
817,我的宇宙
818,我买了rblx股票
819,此处点名腾讯
820,衣服价格2280
821,区块链被
822,不吹不会3年内
823,改叫 脸盆网
824,问腾讯，账号所有权属于公司
825,这件衣服440元
826,求同款衣服
827,莱资狗
828,说的好，然后进入元宇宙所需要的芯片短缺买不到，都被拿去挖矿了
829,记住，难不是不能
830,VR眼镜还要自身的计算性能？？5G6G是摆设啊？？
831,共和？
832,我们有墙
833,对
834,小扎就很像未來人
835,罗小子装高升
836, 是的
837,我呸
838,钱到位了
839,星际公民才是诈骗，但我心甘情愿被骗
840,给的实在太多了
841,笔记本电脑的性能很宽泛啊 应该要苹果M1 MAX的性能
842,好土啊
843,我去元宇宙跑步，我能不能瘦下来！哈哈哈
844,就是玩儿游戏呗！
845,通俗易懂，溜溜溜
846,全生态互通？
847,已经完了，老罗都出手了！你投多少钱都得黄
848,谁没事儿出门带个vr不是沙雕么
849,这不得充钱充钱再充钱啊
850,全真教主马化腾
851,【】】
852,买了quest2还是受不了潜水镜视角
853,AR增强现实可以，VR虚拟现实只能做游戏机
854,投外卖吧 吃饭永远不会变
855,pipe piper
856,就得去中心化
857,AR还有点希望，VR这种潜水镜玩游戏算了吧
858,总结升华来啦！！！爆赞！！！
859,越看越好看
860,我已经吃灰了
861,quest2也就那么几个游戏好玩的
862,先把电池问题解决了再谈别的
863,资本造词而已。就和双11购物节一样。
864,是吗？是不可能吗？
865,VRChat哈哈哈
866,核心问题了
867,不就是《头号玩家》吗
868,一脸懵逼的听完
869,去中心化
870,嗯，，，，很有深度，逐渐离谱
871,感觉是刀剑啊
872,黑镜有这样的类似剧情，高分剧
873,反正在我们有生之年这玩意是不可能做到的
874,因为你被量子纠缠了
875,roblox
876,mana sand
877,裂开了
878,我孙子继承我账号要交宇宙税吗？
879,这很像我的世界服务器啊
880,对的对的，哈哈哈哈
881,宁子是我老婆
882,宁子是我老婆
883,VR版的steam
884,来加入光荣的进化吧！
885,UP主有才华，好评！感恩
886,可以自己创造
887,脱实向虚
888,给的太多了
889,现在600+亿了
890,区块链？
891,看看中美关系就知道 所谓元宇宙最最关键的去中心化想实现太难了
892,国内现阶段确实是这样的 毕竟产业链在局域网内没发展空间
893,局域网就得了
894,雪崩了没有一朵雪花是....
895,区块链：好活
896,刀剑电影里戴的那种眼镜
897,这位更是重量级
898,然后广告就能直接投到眼睛里了
899,真就 the seed 呗
900,小宁子越来越可爱了
901,感觉也差不多
902,老婆太博学了
903,第一点就要求互联网数据互通，可能吗？谷歌会和小公司分享它的用户资源？
904,腾讯在等着你们最完直接copy
905,这么看来越来越有比特币炒作那味道了
906,庞氏骗局
907,老罗你别到处乱串
908,快了快了
909,我个人认为元宇宙可不是游戏那么简单
910,多少年后？？？？
911,桌上那两根是什么？
912,有人要提资本这两个字了
913,和超梦也不一样，超梦是和人脑的链接，元宇宙只是虚拟的3D世界
914,uu加速器能下载，并不好玩
915,MR
916,都是资本家想多赚钱的借口罢了
917,所以马化腾在干嘛?《黎明计划》?
918,还有很远很远，毕竟这次的元宇宙的泡沫还没破灭
919,至少50年吧
920,玩王者荣耀
921,太正了吧
922,我还有400个币
923,我还有400个币
924,MATRIX
925,小宁子侧颜好看
926,心理测量师
927,哦 比特币
928,2077里的超梦
929,"算了吧, 元宇宙可能会获取知识,但几十年后我们老了,看自己孩子在元宇宙里,是不是就像爹娘看你打游戏上瘾恨铁不成钢的样子"
930,蜥蜴人这波要破产
931,黑客帝国的矩阵？？？
932,epic
933,好漂亮呜呜X﹏X
934,虚拟社区
935,好漂酿
936,然后电能紧缺，总体发电量满足不了全员使用要求，全员数字化生活崩塌
937,怎么这么好看？
938,的确单靠现在的电子计算机算力是不可能的，未来量子计算机有可能
939,有深度+1
940,就是未来世界无痛电子监狱
941,堡垒之夜！！！
942,刀剑直呼内行
943,嗨 老婆
944,这期质量高啊
945,腾讯太恶心了
946,哲学起来了？
947,给老婆投币
948,区块链失去热度？麻烦关注一下币圈吧
949,互联网“光明计划”！！！
950,哇老婆又开始上课了
951,vrchat发出疑问我不也是这样的吗
952,超梦体验
953,2分钟内还能撤回消息
954,漂亮
